source,timestamp_or_frame_number,yolo_count,csrnet_count,overlap_ratio,abs_difference,pct_difference
images,IMG_99_jpg.rf.3c22b9619730f72f4b03259cc0635010.jpg,300,359.57,0.013,59.57,19.86
images,img_1005_jpg.rf.98f15712f67edd78ce9be364d40e1369.jpg,46,11.71,0.000,34.29,74.55
images,img_1006_jpg.rf.0c6bd53a79bb5691bfd63c40ac35666e.jpg,106,25.53,0.000,80.47,75.91
images,img_1006_jpg.rf.543ef81584b89678acb7739db1e4b568.jpg,122,15.82,0.000,106.18,87.03
images,img_1007_jpg.rf.6417ff837e75756e6c77604aae269518.jpg,256,9.32,0.000,246.68,96.36
images,img_1008_jpg.rf.81c92914380fc724b5ecdf92851160f4.jpg,27,20.91,0.000,6.09,22.57
images,img_1008_jpg.rf.c5632d8e7ceae81c18920896030fc3b0.jpg,29,6.47,0.000,22.53,77.69
images,img_1009_jpg.rf.5fa5af0f34e37fb8c18dce467e0dbed9.jpg,13,11.57,0.154,1.43,11.01
images,img_100_jpg.rf.4fd934d44b6151868f4909aded345154.jpg,45,8.04,0.044,36.96,82.13
images,img_1015_jpg.rf.1c1131e3661c04d96239b655de655253.jpg,37,15.24,0.000,21.76,58.82
images,img_1015_jpg.rf.d9cfb4bcae64be939828d90636b6a2f4.jpg,32,15.11,0.000,16.89,52.78
images,img_1016_jpg.rf.11c1b0dd13624f13a775f041d2149317.jpg,112,17.50,0.000,94.50,84.38
images,img_1017_jpg.rf.5f998b8c57a090a1981a28fd0526a295.jpg,42,9.00,0.000,33.00,78.57
images,img_1018_jpg.rf.d37a4866d4469cd7a8bb7e73d4d622fa.jpg,27,6.02,0.000,20.98,77.71
images,img_1019_jpg.rf.2cf09eb919fe36c3899e8753ceec1c5c.jpg,32,7.18,0.000,24.82,77.57
images,img_1022_jpg.rf.20da8046c16110692372ce46e36d9440.jpg,34,8.49,0.059,25.51,75.03
images,img_1022_jpg.rf.3984fc7d5184acb6fa6a5ffc7419137e.jpg,30,14.33,0.000,15.67,52.25
images,img_1022_jpg.rf.3b9520e29ffd292d894c0ba66d769288.jpg,32,8.52,0.000,23.48,73.39
images,img_1025_jpg.rf.78c592d4583d71991a37ae27bf76e4a0.jpg,77,11.62,0.000,65.38,84.90
images,img_1029_jpg.rf.aad6f1c424c4db50e218d0d14c2732bf.jpg,37,5.71,0.000,31.29,84.58
images,img_102_jpg.rf.3bd786715a4a91416e4df241ae33c851.jpg,49,4.65,0.000,44.35,90.51
images,img_1030_jpg.rf.94e41665a8b33598e86ac47ff08f5da2.jpg,51,11.12,0.000,39.88,78.20
images,img_1032_jpg.rf.afbb3278290f4343503d0c80acab14f5.jpg,218,23.61,0.000,194.39,89.17
images,img_1033_jpg.rf.11504434ba72dfd00267ac2201ef290e.jpg,40,13.01,0.050,26.99,67.48
images,img_1033_jpg.rf.23c79de0f87a344adac08de45a817031.jpg,40,16.58,0.000,23.42,58.55
images,img_1033_jpg.rf.dab72d7d209dd823f3abbd4fed456287.jpg,30,19.67,0.000,10.33,34.45
images,img_1033_jpg.rf.db0d7a2cce7d3cea557f3bd4ce060063.jpg,26,6.05,0.000,19.95,76.72
images,img_1035_jpg.rf.aa2fb3ee57678e59c2658ebbabd483b8.jpg,37,14.52,0.000,22.48,60.74
images,img_1036_jpg.rf.653fd7a105fe3cb7d2baec28e20b7681.jpg,25,18.57,0.000,6.43,25.72
images,img_1037_jpg.rf.1064296a0d945989d9734e272b437969.jpg,15,9.54,0.000,5.46,36.37
images,img_1038_jpg.rf.404240911c9dedc7e173f36620f1f970.jpg,47,20.16,0.000,26.84,57.10
images,img_1038_jpg.rf.c8e93b155955f3a56c054e74894e8dda.jpg,48,73.28,0.000,25.28,52.66
images,img_1040_jpg.rf.365789f7fec8662467d5718140aca487.jpg,27,11.62,0.000,15.38,56.96
images,img_1042_jpg.rf.bd113495f26b768fdf82f8a63af58277.jpg,55,3.82,0.000,51.18,93.05
images,img_1042_jpg.rf.ef1604b44813d4f8fae315b6e1edc377.jpg,61,5.33,0.000,55.67,91.26
images,img_1043_jpg.rf.24b6877afcc840121bacb3c24c929b54.jpg,19,27.95,0.000,8.95,47.13
images,img_1043_jpg.rf.5f1b3a8a3b825d07353d43e5fc39b68b.jpg,29,26.87,0.000,2.13,7.34
images,img_1044_jpg.rf.4288db29bd139088a62c46ba46818f46.jpg,70,23.09,0.000,46.91,67.02
images,img_1046_jpg.rf.9f720dcec698a2419ce1bb781209455e.jpg,209,24.32,0.000,184.68,88.36
images,img_1047_jpg.rf.a5ed962baeac72218d9554fcc911c21b.jpg,97,24.05,0.000,72.95,75.21
images,img_1047_jpg.rf.e3f698d07737f88b31eba88318e2feac.jpg,113,42.94,0.000,70.06,62.00
images,img_1047_jpg.rf.ea9e8139ad88d7ae1625253032ab9016.jpg,121,127.03,0.000,6.03,4.98
images,img_104_jpg.rf.b45c56a6d1d2b41a61ec0b9ac3004023.jpg,65,15.45,0.000,49.55,76.23
images,img_1051_jpg.rf.1bff9a4fa4921fba7469a421d5cb6fd1.jpg,135,39.65,0.000,95.35,70.63
images,img_1052_jpg.rf.f1104efebe4f716f59a3005ca71cc3f8.jpg,229,28.99,0.009,200.01,87.34
images,img_1054_jpg.rf.725177e166a0b6b96d8f7773e5b76e3f.jpg,296,11.16,0.000,284.84,96.23
images,img_1054_jpg.rf.9a9a7c5f2d4cf00ec62cfabb6b55b60c.jpg,240,11.02,0.008,228.98,95.41
images,img_1055_jpg.rf.2717edf11fa17b3f4729a8d5d19a5119.jpg,68,3.60,0.000,64.40,94.70
images,img_1055_jpg.rf.67356b65096504be227d1b7cfa078823.jpg,98,3.37,0.000,94.63,96.57
images,img_1055_jpg.rf.90148491a861359d171f6376f82b9c28.jpg,121,10.54,0.033,110.46,91.29
images,img_1056_jpg.rf.894542517b74215725f81320fcc4e994.jpg,242,217.98,0.000,24.02,9.93
images,img_1056_jpg.rf.d16f442ce0fa50021812875cd696c94b.jpg,173,8.39,0.000,164.61,95.15
images,img_1057_jpg.rf.48c7061cc33a344b43db870e903a25c3.jpg,149,14.42,0.000,134.58,90.32
images,img_1057_jpg.rf.8989df1c9486392bbb20bafd54cc7c6f.jpg,158,6.92,0.000,151.08,95.62
images,img_1058_jpg.rf.66dde0de33224eb868c6248953b917cf.jpg,221,21.82,0.000,199.18,90.13
images,img_105_jpg.rf.3f0d53634fe5936fcd2b44af43f09032.jpg,40,4.68,0.000,35.32,88.30
images,img_105_jpg.rf.85a488d4cef924254c3428af00d3602d.jpg,39,12.94,0.000,26.06,66.82
images,img_1065_jpg.rf.51caec3f77944e712eb79494fb2ead33.jpg,143,18.35,0.000,124.65,87.17
images,img_1065_jpg.rf.f42869c3c56090c0344bb0b49e046c6a.jpg,142,12.56,0.000,129.44,91.16
images,img_1066_jpg.rf.b6611b5f1958f8eb72842b40f3bd57ba.jpg,230,20.35,0.000,209.65,91.15
images,img_1067_jpg.rf.2d844ef26798c021fb54862003aa175d.jpg,132,14.20,0.000,117.80,89.24
images,img_1067_jpg.rf.8832936d77d247ca1b47a8dbc10a6e66.jpg,125,31.50,0.000,93.50,74.80
images,img_1067_jpg.rf.ba4b5286001cffff69ef64871b72c61a.jpg,133,24.54,0.000,108.46,81.55
images,img_1068_jpg.rf.713ca74778b98188ed94235ec5e77c7b.jpg,46,20.73,0.000,25.27,54.93
images,img_1068_jpg.rf.7b27e8fc170828bc9845bc20a8f332c2.jpg,54,10.45,0.000,43.55,80.64
images,img_1068_jpg.rf.daa9e808fb3f38b65a9dc1a545df4683.jpg,47,6.45,0.000,40.55,86.28
images,img_106_jpg.rf.1c1c59216ac900fec5a298a3c28b2da7.jpg,21,9.15,0.000,11.85,56.44
images,img_1070_jpg.rf.62c59ea865c541c77701c54e7b18f188.jpg,249,209.64,0.000,39.36,15.81
images,img_1070_jpg.rf.7deabde240f83d116307af0bced14e3f.jpg,240,25.95,0.008,214.05,89.19
images,img_1072_jpg.rf.3bffd7574cc47b164e63fb76b1b9ad8d.jpg,148,30.38,0.000,117.62,79.47
images,img_1072_jpg.rf.d85f7e2e45f5fb41a4642407cdf24feb.jpg,169,13.76,0.000,155.24,91.86
images,img_1074_jpg.rf.2acf94bde081e859e01443a7f3726cd9.jpg,195,22.11,0.000,172.89,88.66
images,img_1074_jpg.rf.706bd7089da6515e0093994077f1819f.jpg,207,97.43,0.000,109.57,52.93
images,img_1074_jpg.rf.f795a22343f83ee5a19aebc9e01b446e.jpg,207,8.45,0.014,198.55,95.92
images,img_1075_jpg.rf.7873dfbe235a749cfc6e341c0cceaa6b.jpg,36,10.12,0.000,25.88,71.89
images,img_1076_jpg.rf.c7516719053630a0d4cbe88b27abee20.jpg,67,31.09,0.030,35.91,53.59
images,img_1077_jpg.rf.0d5470074562d595171889cd40316543.jpg,32,16.09,0.000,15.91,49.72
images,img_1077_jpg.rf.2b4fbaf20c11f6be74f58c9767e63cee.jpg,44,8.50,0.000,35.50,80.69
images,img_1077_jpg.rf.baf364ed584c94110a739dab1fdd146f.jpg,50,7.92,0.000,42.08,84.15
images,img_1079_jpg.rf.4305c3fcd4b1cfc2f79b27524d336817.jpg,135,10.99,0.000,124.01,91.86
images,img_1079_jpg.rf.a42b93457b6697d1e9bbb8f2d00689d1.jpg,125,6.91,0.000,118.09,94.47
images,img_107_jpg.rf.7ae0ff5844e112c8c8af7eab00ffcab5.jpg,43,11.72,0.047,31.28,72.74
images,img_1080_jpg.rf.99bd2abd76fab328a1bed2129e2cf731.jpg,95,22.50,0.000,72.50,76.31
images,img_1082_jpg.rf.b1402a8b7040f20a5f744b52568f68cb.jpg,21,13.10,0.000,7.90,37.64
images,img_1084_jpg.rf.06064ab4436363748f0ec2a5a1ad68e8.jpg,26,14.44,0.000,11.56,44.48
images,img_1084_jpg.rf.b69badb8629e8ddf21969d9801a3483c.jpg,26,22.64,0.000,3.36,12.93
images,img_1085_jpg.rf.bf6139c8bbfed54d7fb16d1d2db82106.jpg,80,18.42,0.025,61.58,76.98
